PNAME,PLFUELCT,PLPFGNCT,CAPFAC,CAPFAC_FIXED,CAPFAC_ACTUAL,NAMEPCAP,LAT,LON,ORIS,NUMGEN,PLNGENAN,Label,MIN_POW,INC_COST,DEC_COST,ORIS,PLPRMFL
Nottely,HYDRO,HYDRO,0.0874,0.0874,0.0874,15.9,34.9594,-84.0903,758,2,12179,9,0,2397000,10000000,758,WAT
Oliver Dam,HYDRO,HYDRO,0.2084,0.2084,0.2084,60,32.5163,-84.9969,720,4,109541,9,0,2397000,10000000,720,WAT
Port Wentworth Mill,BIOMASS,BIOMASS,0.4624,0.8,0.4624,72.3,32.1561,-81.1586,50804,2,292844.444,7,0,4041000,10000000,50804,BLQ
Rayonier Jesup Mill,BIOMASS,BIOMASS,0.6215,0.8,0.6215,82,31.6593,-81.8439,10560,6,446468.439,7,0,4041000,10000000,10560,BLQ
Richard B Russell,HYDRO,HYDRO,0.0896,0.0896,0.0896,628,34.0256,-82.5953,6132,8,492772,9,0,2397000,10000000,6132,WAT
Riverside Manufacturing,GAS,GAS,0.01722474,0.8,0.0002,1.1,31.1683,-83.8025,54856,1,2,7,0,956000,10000000,54856,NG
Riverwood 100 Building,OIL,OIL,0.0001,0.5,0.0001,1.1,33.8775,-84.4603,54816,1,0.979,6,0,901000,10000000,54816,DFO
Riverwood International Macon Mill,BIOMASS,BIOMASS,0.927,0.8,0.927,33.4,32.7714,-83.6281,54464,4,271212.918,7,0,4041000,10000000,54464,BLQ
Robins,GAS,GAS,0.546816457,0.8,0.0269,183.8,32.5806,-83.5831,7348,2,43280,7,0,956000,10000000,7348,NG
Sandersville,GAS,GAS,0.453938198,0.8,0.013,692,33.1189,-82.8608,55672,8,78605,6,0,956000,10000000,55672,NG
Savannah River Mill,OIL,OIL,0.518,0.5,0.518,140.4,32.3683,-81.3413,10361,4,637142.265,7,0,901000,10000000,10361,PC
Savannah Sugar Refinery,COAL,COAL,0.8,0.8,0.6112,11.7,32.14329,-81.146667,50146,4,62647,7,0,2883000,10000000,50146,BIT
Scherer,COAL,COAL,0.8,0.8,0.8025,3564,33.0583,-83.8072,6257,4,25053667,0,0.15,2883000,10000000,6257,SUB
Sewell Creek Energy,GAS,GAS,0.195373228,0.8,0.0299,570,33.9486,-85.2769,7813,4,149344,6,0,956000,10000000,7813,NG
Shepherd Center,OIL,OIL,0.0002,0.5,0.0002,1.7,33.8111,-84.3928,54813,4,3.001,6,0,901000,10000000,54813,DFO
Sinclair Dam,HYDRO,HYDRO,0.1061,0.1061,0.1061,45,33.1403,-83.2028,722,2,41836.999,9,0,2397000,10000000,722,WAT
Smarr Energy Center,GAS,GAS,0.727199273,0.8,0.0189,242,32.9856,-83.8464,7829,2,40091,7,0,956000,10000000,7829,NG
South Georgia Medical Center,OIL,OIL,0.0001,0.5,0.0001,1.9,30.8625,-83.2894,54848,4,2.001,7,0,901000,10000000,54848,DFO
Sowega Power,GAS,GAS,0.479728236,0.8,0.0341,120,31.3869,-84.0814,7768,2,35800.001,7,0,956000,10000000,7768,NG
State Farm Insurance Support Center East,OIL,OIL,0.0022,0.5,0.0022,10.8,34.0858,-84.2353,55274,6,209.001,6,0,901000,10000000,55274,DFO
Stevens Creek,HYDRO,HYDRO,0.3619,0.3619,0.3619,18.4,33.5628,-82.0514,736,8,58336,9,0,2397000,10000000,736,WAT
Sun Trust Plaza,OIL,OIL,0.0017,0.5,0.0017,2.4,33.7625,-84.3872,54845,2,35.28,6,0,901000,10000000,54845,DFO
Talbot County Energy,GAS,GAS,0.709098664,0.8,0.028,726,32.5892,-84.6917,7916,6,178074,7,0,956000,10000000,7916,NG
Tallulah Falls,HYDRO,HYDRO,0.0955,0.0955,0.0955,72,34.731,-83.3757,723,6,60208.001,9,0,2397000,10000000,723,WAT
Tenaska Georgia Generation Facility,GAS,GAS,0.389117294,0.8,0.0154,1099.2,33.3516,-84.9996,55061,6,148220,6,0,956000,10000000,55061,NG
Terrora,HYDRO,HYDRO,0.1468,0.1468,0.1468,16,34.7507,-83.4057,724,2,20571.001,9,0,2397000,10000000,724,WAT
Thiele Kaolin Reedy Creek,OIL,OIL,0.0134,0.5,0.0134,2.2,33.2708,-82.4569,54849,2,259,6,0,901000,10000000,54849,DFO
Thiele Kaolin Sandersville,OIL,OIL,0.0113,0.5,0.0113,2.4,32.9708,-82.8028,54841,2,237.161,7,0,901000,10000000,54841,DFO
Tugalo,HYDRO,HYDRO,0.1285,0.1285,0.1285,44.8,34.7133,-83.3519,725,4,50423,9,0,2397000,10000000,725,WAT
Valdosta Water Treatment Plant,OIL,OIL,0.0014,0.5,0.0014,3.4,30.9103,-83.2358,54839,2,42.998,7,0,901000,10000000,54839,DFO
Vogtle,NUCLEAR,NUCLEAR,0.9003,0.95,0.9003,2320,33.1419,-81.7565,649,2,18296893,8,0.8,5429000,10000000,649,NUC
Walter F George,HYDRO,HYDRO,0.1832,0.1832,0.1832,130,31.6256,-85.0639,761,4,208629,9,0,2397000,10000000,761,WAT
Walton County Power LLC,GAS,GAS,0.161858531,0.8,0.0172,612,33.8147,-83.6969,55128,3,92216,6,0,956000,10000000,55128,NG
Wansley,COAL,COAL,0.8,0.8,0.7527,1956.8,33.4124,-85.0345,6052,3,12903138,6,0.15,2883000,10000000,6052,BIT
Wansley Combined Cycle,GAS,GAS,0.716469151,0.8,0.2331,1239,33.4124,-85.0344,55965,6,2530451,5,0.15,956000,10000000,55965,NG
Wansley Unit 9,GAS,GAS,0.049478935,0.8,0.1777,568,33.4082,-85.0399,7946,3,884213,5,0,956000,10000000,7946,NG
Washington County,GAS,GAS,0.75347065,0.8,0.0116,797.6,33.0917,-82.9803,55332,4,81081,6,0,956000,10000000,55332,NG
West Georgia Generating,GAS,GAS,0.33679025,0.8,0.0467,701.2,32.911,-84.3059,55267,4,287101,7,0,956000,10000000,55267,NG
West Point,HYDRO,HYDRO,0.1414,0.1414,0.1414,73.3,32.9187,-85.1886,6133,3,90768.001,9,0,2397000,10000000,6133,WAT
Wilson,OIL,OIL,0.0013,0.5,0.0013,321.2,33.138,-81.748,6258,7,3655,6,0,901000,10000000,6258,DFO
Yates,COAL,COAL,0.8,0.8,0.5803,1487.3,33.4622,-84.8986,728,7,7560314,5,0.15,2883000,10000000,728,BIT
YKK USA Chestney,OIL,OIL,0.0038,0.5,0.0038,6.8,32.8061,-83.5456,54566,5,229,7,0,901000,10000000,54566,DFO
Yonah,HYDRO,HYDRO,0.1089,0.1089,0.1089,22.5,34.6814,-83.3419,729,3,21473.002,9,0,2397000,10000000,729,WAT
