supplier,food,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,Mean
Aleppo,Rice,2461.32,2406.22,2443.11,2424.29,2385.45,2365.28,2386.38,1004.71,1026.61,1059.28,1050.47,1018.98,994.7,946.59,905.78,905.87,873.4,907.67,805.47,837.27,785.87,794.97,812.39,825.24,815.5,805.81,816.46,805.17,809.06,800.65,776.7,784.85,793.02,800.97,907.83,1014.7,1121.56,1228.43,1228.43,1569.92,1741.88,2603.66,2746.99,2544.7,2651.94,2766.7,3141.33,3714.6,3940.99,4835.56,6107.54,2342.36,2018.35,2115.5,2088.55,2204.24,2340.45,2335.72,1719.78
Aleppo,Sugar,1853.02,1854.53,1843.97,1840.12,1732.22,1679.49,1667.9,683.38,756.73,818.89,789.31,714.74,606.53,581.55,566.11,566.17,481.99,491.7,508.51,475.18,491.56,490.5,509.49,489.32,490.08,496.3,508.71,533.65,563.91,559.04,557.7,600.23,649.07,659.99,731.39,899.1,986.41,1103.16,1094.66,1234.57,1386.4,2608.88,2558.2,2237.01,2308.18,2458.45,2748.34,3049.52,3224.53,3674.38,4708.47,1653.95,1482.55,1490.79,1590.86,1800.76,2008.7,2036.8,1330.82
Aleppo,Wheatflour,1181.43,1181.53,1134.3,1139.12,1137.32,1113.83,1108.04,458.01,480.11,495.78,492.71,485.23,443.01,436.89,461.3,461.34,428.94,459.17,413.89,443.15,443.41,436.51,450.08,456.7,478.82,504.07,500.3,506.47,524.27,555,540.83,537.83,544.62,547.13,587.73,702.38,747.57,797.41,895.13,993.95,1116.19,1681.65,1929.94,1830.79,1905.61,1936.31,2181.57,2373.47,2483.46,2919.21,3689.6,1537.77,1641.36,1463.22,1491.63,1530.57,1632.67,1734.75,1048.02
As_Suweida,Beans,2461.32,2449.38,2443.11,2453.5,2449.61,2449.26,2449.36,1043,1058.37,1064.12,1067.95,1067.5,1067.48,1067.95,1067.53,1067.63,1067.49,1067.85,1018.96,970.75,970.7,996.14,1108.69,1295.15,1440.72,1586.37,1585.69,1642.37,1601.94,1625.56,1618.13,1585.52,1633.65,1779.94,1699.03,1634.31,1586.41,2022.66,1926.22,1831.67,1882.21,3528.92,3904.8,2995.79,3002.18,3586.73,4723.59,4463.37,13649.86,13368.41,14754.19,6082.72,5962.5,5167.5,5167.5,5167.5,5167.5,5436.77,2931.64
As_Suweida,Bulgur,1406.47,1399.64,1396.06,1402,1399.78,1399.58,1399.64,581.6,577.29,557.21,533.97,533.75,533.74,533.97,533.76,533.81,533.74,559.16,582.26,630.98,630.95,631.08,631.04,631.07,631.04,631.05,752.39,1100.32,881.88,1035.18,1003.24,970.72,938.12,898.06,857.61,895.37,933.13,970.88,970.88,1612.03,1674.7,2287.34,2565.47,2735.29,2723.84,2734.14,2731.29,2787.9,3145.12,3428.76,4353.29,2014.32,2007.82,1966.8,1810.55,1884.92,1903.58,2015.71,1369.06
As_Suweida,Cheese,6563.52,6998.22,6980.31,7010,6998.88,6997.88,6998.18,2714.12,2501.59,2515.19,2621.32,2717.27,2620.19,2621.32,2620.3,2620.54,2717.25,2815.23,2814.28,2815.16,2815.02,2815.6,2815.41,2815.54,2815.42,2815.47,2783.03,2831.68,3187.7,3057.03,3220.08,3219.55,3348.16,2281.56,2394.82,2686.08,2751.46,2686.08,2992.24,3301.82,3521.28,5461.65,6503.79,6838.23,7210.88,7601.84,9122.38,9487.96,9490.2,10562.56,12862.74,6016.46,5916.56,5595.92,5641.93,5962.5,5962.5,6088.16,4667.97
As_Suweida,Chickpeas,3281.76,3382.47,3606.49,3738.66,3732.74,3732.2,3732.36,1454,1347.01,1305.96,1310.66,1310.11,1261.57,1262.12,1261.62,1164.68,1164.53,1164.92,1164.53,1164.89,1003.7,1003.91,1067.91,1067.96,1067.92,1067.94,776.66,1027.51,1197.41,1164.58,1245.97,1083.96,970.48,938.51,889.96,1019.42,1034.95,1035.59,1123.3,1212.27,1345.1,2518.34,3034.96,2605.03,2518.46,2603.94,2601.06,3400.07,3509.96,3705.02,4688.79,2252.86,2376.17,2091.3,2378.38,2351.24,2549.3,2638.88,1926.07
As_Suweida,Dates,4688.23,4665.48,5118.89,5608,6532.29,6997.88,6998.18,2907.99,2886.45,2902.14,2912.58,2911.37,2523.14,1553.38,1649.82,1358.8,1504.19,1844.46,1843.84,1844.42,1908.39,1908.78,1893.12,2038.84,2038.75,2411.59,2378.52,2378.62,2168.28,2183.59,2233.02,2879.8,2620.3,2378.64,2265.38,2346.27,2394.18,2459.56,2418.13,2414.16,2405.16,5126.91,6453.48,6707.97,6698.82,6868.95,7920.44,8718.52,8774.91,9555.05,10790.93,4770.76,4677.25,4372.5,4372.5,4342.58,4372.5,4791.37,3908.45
As_Suweida,Fish,10770.33,10718.07,10690.64,10736.1,10719.08,10717.54,10718,4589.9,4680.74,4706.18,4723.11,4721.14,4721.07,4460.74,4458.99,4197.11,4196.57,4197.97,4196.55,4197.87,4197.65,4198.51,4198.23,4198.43,4198.25,4198.32,4198.21,4723.14,5247.92,5508.11,5729.04,4285.12,4896.07,5510.32,5685.32,6734.96,6906.32,7521.85,7822.89,8132.37,8729.61,15874.93,18680.27,18723.68,18527.1,18952.13,20110.81,21485.96,23442.54,26812.64,29920.97,12109.14,11925,11925,12213.49,12277.63,12863.55,14512.87,9487.86
As_Suweida,Lentils,4219.41,4198.93,4188.19,4206,4199.33,4198.73,4198.91,1696.33,1587.55,1499.44,1456.29,1358.64,1261.57,1165.03,1067.53,1067.63,1067.49,1164.92,1067.48,1019.28,986.23,1003.91,809.67,809.71,809.68,809.69,525.86,477.34,566.35,614.65,679.62,711.87,646.98,679.61,752.43,825.24,899.03,906.16,1164.74,1424.78,1624.39,2373.06,2663.98,2670.17,2677.9,2669.05,2666.42,3318.19,3730.12,4192.52,4908.97,2252.86,2376.17,2376.72,2262.76,2118.71,2073.62,2267.46,1917.5
