date,units_sold,price,region,year,month,peak
2015-05-10,2.9637778,1.17,Southeast,2015,5,1
2015-05-17,4.09467785,1.33,Northeast,2015,5,1
2015-05-17,5.83178244,0.79,SouthCentral,2015,5,1
2015-05-17,2.81700833,1.18,Midsouth,2015,5,1
2015-05-17,3.75320103,1.09,Great_Lakes,2015,5,1
2015-05-17,1.96671228,1.06,Plains,2015,5,1
2015-05-17,32.02768615,1.06,Total_US,2015,5,1
2015-05-17,5.33899215,0.98,West,2015,5,1
2015-05-17,2.93617363,1.15,Southeast,2015,5,1
2015-05-17,0.42248437,1.15,Northern_New_England,2015,5,1
2015-05-24,0.51217244,1.04,Northern_New_England,2015,5,1
2015-05-24,6.13915981,0.93,West,2015,5,1
2015-05-24,2.02663978,1.03,Plains,2015,5,1
2015-05-24,5.90359618,0.83,SouthCentral,2015,5,1
2015-05-24,4.29851496,1,Southeast,2015,5,1
2015-05-24,35.34418315,1.04,Total_US,2015,5,1
2015-05-24,3.57405061,1.15,Great_Lakes,2015,5,1
2015-05-24,3.11905091,1.14,Midsouth,2015,5,1
2015-05-24,4.66145729,1.26,Northeast,2015,5,1
2015-05-31,2.88450774,1.17,Southeast,2015,5,1
2015-05-31,1.85345118,1.09,Plains,2015,5,1
2015-05-31,6.34995765,0.74,SouthCentral,2015,5,1
2015-05-31,0.41369946,1.2,Northern_New_England,2015,5,1
2015-05-31,3.151714,1.2,Great_Lakes,2015,5,1
2015-05-31,5.87498236,0.93,West,2015,5,1
2015-05-31,33.72015909,1.03,Total_US,2015,5,1
2015-05-31,4.32923982,1.34,Northeast,2015,5,1
2015-05-31,3.03940306,1.14,Midsouth,2015,5,1
2015-06-07,36.54999566,1,Total_US,2015,6,1
2015-06-07,6.23400644,0.75,SouthCentral,2015,6,1
2015-06-07,3.60211279,1.13,Great_Lakes,2015,6,1
2015-06-07,0.42721677,1.17,Northern_New_England,2015,6,1
2015-06-07,2.02646423,1.04,Plains,2015,6,1
2015-06-07,2.91829891,1.14,Midsouth,2015,6,1
2015-06-07,4.7219273,1.27,Northeast,2015,6,1
2015-06-07,6.66922129,0.92,West,2015,6,1
2015-06-07,4.00312177,0.99,Southeast,2015,6,1
2015-06-14,4.56174966,1.2,Northeast,2015,6,1
2015-06-14,37.02608575,0.98,Total_US,2015,6,1
2015-06-14,3.51118514,1.12,Great_Lakes,2015,6,1
2015-06-14,3.02182581,1.15,Southeast,2015,6,1
2015-06-14,0.53772507,1.04,Northern_New_England,2015,6,1
2015-06-14,7.28180361,0.69,SouthCentral,2015,6,1
2015-06-14,3.17305142,1.09,Midsouth,2015,6,1
2015-06-14,1.97480607,1.06,Plains,2015,6,1
2015-06-14,6.76000168,0.92,West,2015,6,1
2015-06-21,35.7346139,1.02,Total_US,2015,6,1
2015-06-21,3.72045883,1.08,Great_Lakes,2015,6,1
2015-06-21,6.15360875,0.79,SouthCentral,2015,6,1
2015-06-21,4.508474,1.27,Northeast,2015,6,1
2015-06-21,2.97941782,1.13,Midsouth,2015,6,1
2015-06-21,1.92172044,1.08,Plains,2015,6,1
