Plant,Year,Month,Day,Hour,Cost
Bowen,2007,7,13,15,20.04895524
Bowen,2007,7,13,16,30.28767733
Bowen,2007,7,13,17,41.12791331
Bowen,2007,7,13,18,52.3021238
Bowen,2007,7,13,19,65.37731973
Bowen,2007,7,13,20,75.50453384
Bowen,2007,7,13,21,77.3387634
Bowen,2007,7,13,22,66.75410187
Bowen,2007,7,13,23,50.41383888
Bowen,2007,7,13,24,36.35277218
Bowen,2007,7,14,1,27.03544168
Bowen,2007,7,14,2,21.56951732
Bowen,2007,7,14,3,17.73207637
Bowen,2007,7,14,4,16.87134897
Bowen,2007,7,14,5,16.77617163
Bowen,2007,7,14,6,16.64127163
Bowen,2007,7,14,7,17.33603873
Bowen,2007,7,14,8,17.91435944
Bowen,2007,7,14,9,17.39599852
Bowen,2007,7,14,10,15.47699955
Bowen,2007,7,14,11,14.09877377
Bowen,2007,7,14,12,12.12866896
Bowen,2007,7,14,13,11.51362032
Bowen,2007,7,14,14,13.43195795
Bowen,2007,7,14,15,14.34527283
Bowen,2007,7,14,16,13.41816771
Bowen,2007,7,14,17,16.82276346
Bowen,2007,7,14,18,21.54517543
Bowen,2007,7,14,19,24.18463792
Bowen,2007,7,14,20,24.3494302
Bowen,2007,7,14,21,22.1011916
Bowen,2007,7,14,22,19.78543861
Bowen,2007,7,14,23,18.72631111
Bowen,2007,7,14,24,16.23838845
Bowen,2007,7,15,1,12.25127012
Bowen,2007,7,15,2,9.256246857
Bowen,2007,7,15,3,9.220666046
Bowen,2007,7,15,4,8.38244259
Bowen,2007,7,15,5,6.522635291
Bowen,2007,7,15,6,5.076137523
Bowen,2007,7,15,7,4.455727177
Bowen,2007,7,15,8,4.102660812
Bowen,2007,7,15,9,3.806870437
Bowen,2007,7,15,10,3.532136676
Bowen,2007,7,15,11,3.285422148
Bowen,2007,7,15,12,3.045138933
Bowen,2007,7,15,13,2.683454988
Bowen,2007,7,15,14,3.006197526
Bowen,2007,7,15,15,8.384806371
Bowen,2007,7,15,16,19.93450039
Bowen,2007,7,15,17,35.85180072
Bowen,2007,7,15,18,46.37307422
Bowen,2007,7,15,19,50.97739527
Bowen,2007,7,15,20,55.97581824
Bowen,2007,7,15,21,60.39508971
Bowen,2007,7,15,22,60.46182276
Bowen,2007,7,15,23,60.16371394
Bowen,2007,7,15,24,60.76113431
Bowen,2007,7,16,1,57.90793545
Bowen,2007,7,16,2,55.02376749
Bowen,2007,7,16,3,50.33155617
Bowen,2007,7,16,4,44.6877132
Bowen,2007,7,16,5,40.67426882
Bowen,2007,7,16,6,34.88209023
Bowen,2007,7,16,7,28.87322584
Bowen,2007,7,16,8,21.14815113
Bowen,2007,7,16,9,14.75676856
Bowen,2007,7,16,10,9.932873551
Bowen,2007,7,16,11,7.414494294
Bowen,2007,7,16,12,6.157137162
Bowen,2007,7,16,13,5.305650965
Bowen,2007,7,16,14,4.532209904
Bowen,2007,7,16,15,3.666092749
Bowen,2007,7,16,16,3.917260293
Bowen,2007,7,16,17,9.677956331
Bowen,2007,7,16,18,23.15385637
Bowen,2007,7,16,19,35.97557723
Bowen,2007,7,16,20,45.61547326
Bowen,2007,7,16,21,49.63831928
Bowen,2007,7,16,22,48.72120327
Bowen,2007,7,16,23,44.46119399
Bowen,2007,7,16,24,41.18427815
Bowen,2007,7,17,1,38.08476213
Bowen,2007,7,17,2,37.80840886
Bowen,2007,7,17,3,41.22519901
Bowen,2007,7,17,4,43.49080591
Bowen,2007,7,17,5,42.64899604
Bowen,2007,7,17,6,42.33085582
Bowen,2007,7,17,7,43.80997458
Bowen,2007,7,17,8,45.84163647
Bowen,2007,7,17,9,41.9725414
Bowen,2007,7,17,10,41.50700346
Bowen,2007,7,17,11,42.68494402
Bowen,2007,7,17,12,45.06984951
Bowen,2007,7,17,13,46.62410036
Bowen,2007,7,17,14,43.2165458
